treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),Sequential (GRU),Hit@10,6360,0.06650943396226415,7.133737903192258e-51,4.358881852879001e-21,0.0004997501249375312,0.18979696604213994,0.06650943396226414,1272,5,0.008902759538925826,7.847111693511484e-50,4.794770038166901e-20,0.006496751624187906,conflict_natural_broad
AIPA (full),AIPA (rule policy),NDCG@10,6360,-0.0020646738977020875,0.313091404278688,0.6467209728087979,0.3073463268365817,-0.012650050495573295,-0.002934911593686973,1272,5,0.006166055629062599,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o clarification,NDCG@10,6360,-0.0013483623480900603,0.4290141892058903,0.4993202800053653,0.4357821089455272,-0.009917669482236652,0.0004223774771567601,1272,5,0.002922472369074719,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o counterfactual,NDCG@10,6360,-0.0007118658174639214,0.7360601195475185,0.9651407652065217,0.7546226886556722,-0.004226855637205102,0.0017229094972509296,1272,5,0.00718481705996273,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o persistence,NDCG@10,6360,-2.6117653950489318e-05,0.9609777149087805,0.8686338358863848,0.9630184907546226,-0.0006135280682020009,0.0006533562754637567,1272,5,0.0010116714062149668,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o relationship,NDCG@10,6360,0.000685675836073484,0.7362363467441104,0.9523215362152664,0.7406296851574213,0.004223924188381539,0.0024966130691032595,1272,5,0.006322548292002567,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Adaptive fusion,NDCG@10,6360,-0.002894976868777576,0.17696793931609886,0.3153341634312875,0.17791104447776113,-0.016931740246326744,-0.005928562952414923,1272,5,0.004589146088115261,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Conversation-aware,NDCG@10,6360,-0.0037465679185160763,0.11116749819696811,0.21302272101142716,0.12393803098450774,-0.019977389738137667,-0.0044606868794747345,1272,5,0.005048929147505867,0.8893399855757449,1.0,0.991504247876062,conflict_natural_broad
AIPA (full),KBRD-style,NDCG@10,6360,-0.011185697451120899,5.353657035854623e-06,0.0005740037287852223,0.0004997501249375312,-0.05710768417891849,-0.01666481250741661,1272,5,0.004729800847199428,5.353657035854624e-05,0.005740037287852223,0.006496751624187906,conflict_natural_broad
AIPA (full),LTP-only,NDCG@10,6360,0.053056384859900003,1.6808380025442258e-99,2.216394537584441e-54,0.0004997501249375312,0.270257983375912,0.10658567699062538,1272,5,0.004631646620638329,2.1850894033074935e-98,2.881312898859773e-53,0.006496751624187906,conflict_natural_broad
